omg!! gempak gila!  https//t.co/voe1n53irx|{u'full_name': u'Plentong, Johor', u'url': u'https://api.twitter.com/1.1/geo/id/59e757bb93090b8c.json', u'country': u'Malaysia', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[103.701431, 1.426407], [103.701431, 1.6244], [103.974757, 1.6244], [103.974757, 1.426407]]]}, u'country_code': u'MY', u'attributes': {}, u'id': u'59e757bb93090b8c', u'name': u'Plentong'}
https//t.co/6oquhkxw8x|None
rt @maryam_rajavi maryam rajavi so long as the mullahs are in power in iran, terrorism under the banner of islam will continue https//t…|None
eua contrata médicos para protegerse del zika el comité olímpico estadounidense pretende disipar los temores ... https//t.co/chmya1hcfr|None
zika é uma doença seria e e as pessoas ainda zoam....|None
rt @chintwix c'est trop chiant quand j'me réveille au milieu d'un rêve de fou, du coup balec je ferme les yeux et j'imagine la suite à ma …|None
rt @realfriendsband i'm pretty sure the show sold out. all proceeds will be going to the water crisis in flint, michigan. thanks everybody…|None
rt @excellance_inc legendary filmmaker john russo offers advice for surviving a zombie pandemichttps//t.co/1dum87omat https//t.co/ojxcv…|None
@ipoliticsca selfie could recommend that all women wear hajab,s to avoid zika|None
read @worldvision &amp; join response to droughts in africa--likely leaving 11 million children in need. @drjamieaten  https//t.co/cpowoxqubq|None
@sardesairajdeep i think that is better then supporting a terrorist!|None
zika podría permanecer en el semen más tiempo de lo esperado, según un estudio https//t.co/rp9antznss https//t.co/8icta7ggfw|None
thanks for carin bout my state dudes! https//t.co/ncnjfufcip|None
cuba refuerza la vigilancia epidemiológica para evitar entrada del zika pese a que no se ha registrado algún caso... https//t.co/emcweru8vo|None
rt @bezissi @amaka_ekwo @cnnbrk @ajenews @judy_mylove @pleasureethics  https//t.co/yu0f6oe2vj|None
rt @sateliteweb governo registra primeiro caso de transmissão de zika pelo peido https//t.co/hovy9ackuf|None
honduras confirma primeiro bebê com microcefalia associada ao zika https//t.co/ih370vtpbq|None
turkish-german pact eu split by merkel's refugee planhttps//t.co/ncflhvpsdc|None
rt @igbohistory boko haram is there thriving strongly, but @mbuhari concentration is on the biafrans. we hope @amnesty &amp; the world is wat…|None
sempre achei ela meio dengosa https//t.co/8dhavqvhgv|None
eua contrata médicos para protegerse del zika el comité olímpico estadounidense pretende disipar los temores ... https//t.co/pst1izbrzt|None
families shattered by war one young lds refugee's story of trying to connect to her past family - https//t.co/bwhggq3ats|None
rt @alimaadelat lambo drives through a flood! nah this wasn't me— mine's a convertible... but this is totally some shit i would do 😂 https…|None
rt @alimaadelat lambo drives through a flood! nah this wasn't me— mine's a convertible... but this is totally some shit i would do 😂 https…|None
you can now sense earthquakes on your smartphone https//t.co/ncrjxobdio via @popsci https//t.co/uahrkty05s|None
rt @un questions about zika? see @who info for travelers visiting zikavirus-affected countries https//t.co/inbyd3qmqs https//t.co/ttew7…|None
"institucional mtps integra campanha nacional contra zika vírus neste sábado (13/2)" https//t.co/q0vtdj6cuq|None
